Flavour, Time since last tick, Framerate, Boids on screen
CPUseq, 136036, 75.1422066260398, 1876
CPUseq, 122835, 82.9600132736021, 1878
CPUseq, 116903, 87.2501374189664, 1880
CPUseq, 121179, 84.096509153905, 1883
CPUseq, 157556, 64.7291086801735, 1888
CPUseq, 123596, 84.4223820619323, 1890
CPUseq, 131265, 77.5223845885499, 1892
CPUseq, 122714, 82.984108543214, 1895
CPUseq, 153044, 66.3442336909287, 1898
CPUseq, 118667, 85.9025349838074, 1899
CPUseq, 152287, 66.6369021836913, 1903
CPUseq, 169674, 59.8268610640805, 1904
CPUseq, 127653, 79.9597003110432, 1905
CPUseq, 132846, 76.57378266829, 1907
CPUseq, 131716, 77.7151738877016, 1908
CPUseq, 167252, 60.7839919278859, 1910
CPUseq, 152560, 66.9106675677303, 1911
CPUseq, 126962, 80.2072555483369, 1912
CPUseq, 123077, 82.7800864224102, 1914
CPUseq, 131005, 77.7085308425159, 1916
CPUseq, 128973, 78.9583810373552, 1919
CPUseq, 139073, 73.1256078566153, 1920
CPUseq, 143645, 70.7844330874754, 1923
CPUseq, 135842, 74.8531007897002, 1925
CPUseq, 141932, 71.553790562055, 1927
CPUseq, 120984, 84.2616154636917, 1928
CPUseq, 137108, 74.1537206629343, 1929
CPUseq, 141850, 71.6429886589149, 1931
CPUseq, 169545, 59.8719936775175, 1934
CPUseq, 125206, 81.8384182270525, 1935
CPUseq, 126413, 80.5269684817445, 1936
CPUseq, 131996, 77.6054075447977, 1938
CPUseq, 136940, 74.2528308891776, 1940
CPUseq, 129295, 79.2229810023292, 1941
CPUseq, 136257, 75.2468095352757, 1942
CPUseq, 122156, 83.4167500834167, 1943
CPUseq, 120498, 84.5837633007968, 1946
CPUseq, 125257, 81.2902386681407, 1947
CPUseq, 128090, 79.0076637433831, 1947
CPUseq, 127959, 79.0826413602214, 1947
CPUseq, 149924, 67.5543305703612, 1947
CPUseq, 134628, 75.1467239785682, 1947
CPUseq, 124583, 81.2684377768206, 1947
CPUseq, 158966, 63.5849176575316, 1947
CPUseq, 126210, 80.477715720517, 1947
CPUseq, 127547, 79.5070562512423, 1947
CPUseq, 129123, 78.4129224496197, 1947
CPUseq, 123396, 82.058688373925, 1947
CPUseq, 123314, 82.0768731994386, 1947
CPUseq, 119978, 84.4601728055136, 1947
CPUseq, 121596, 83.2507763134891, 1947
CPUseq, 121486, 83.3479192191967, 1947
CPUseq, 122088, 83.275734283787, 1947
CPUseq, 144129, 70.1336045166041, 1947
CPUseq, 124650, 81.2294895538876, 1947
CPUseq, 148093, 68.2328377354886, 1947
CPUseq, 157449, 64.3678752808049, 1947
CPUseq, 142058, 71.1713378788095, 1947
CPUseq, 178703, 56.445194538363, 1947
CPUseq, 134664, 75.5355470284316, 1948
CPUseq, 137272, 74.4125132082211, 1950
CPUseq, 125637, 81.0878749300617, 1951
CPUseq, 122992, 82.793108301665, 1952
CPUseq, 133439, 76.6853523308513, 1953
CPUseq, 124882, 81.5015852058323, 1954
CPUseq, 142309, 72.493711170556, 1955
CPUseq, 141611, 71.3617971755001, 1955
CPUseq, 119319, 84.9112677252271, 1955
CPUseq, 123769, 81.8042750914163, 1955
CPUseq, 121704, 83.2189073357467, 1955
CPUseq, 124079, 81.5414597552125, 1955
CPUseq, 122427, 82.7794011738119, 1955
CPUseq, 157941, 63.9574299346355, 1955
CPUseq, 126039, 80.8695089603416, 1956
CPUseq, 130829, 77.3275595422208, 1956
CPUseq, 142390, 71.2748214565723, 1956
CPUseq, 146111, 69.1950539375445, 1956
